_loaded_at,_sync_id,_is_deleted,member_id,campaign_id,contact_id,status,first_responded_date,created_date
2025-01-10 02:00:00,sync_001,false,MBR-001,CMP-001,CON-001,sent,,2025-01-02
2025-01-10 02:00:00,sync_001,false,MBR-002,CMP-001,CON-002,sent,,2025-01-02
2025-01-10 02:00:00,sync_001,false,MBR-003,CMP-001,CON-004,sent,,2025-01-06
2025-01-10 02:00:00,sync_001,false,MBR-004,CMP-001,CON-006,sent,,2025-01-07
2025-01-10 02:00:00,sync_001,false,MBR-005,CMP-002,CON-001,attended,2025-01-10,2025-01-05
2025-01-10 02:00:00,sync_001,false,MBR-006,CMP-002,CON-003,attended,2025-01-10,2025-01-05
2025-01-10 02:00:00,sync_001,false,MBR-007,CMP-002,CON-005,registered,,2025-01-05
2025-01-20 02:00:00,sync_002,false,MBR-001,CMP-001,CON-001,responded,2025-01-12,2025-01-02
2025-01-20 02:00:00,sync_002,false,MBR-002,CMP-001,CON-002,responded,2025-01-14,2025-01-02
2025-01-20 02:00:00,sync_002,false,MBR-008,CMP-003,CON-003,sent,,2025-01-15
2025-01-20 02:00:00,sync_002,false,MBR-009,CMP-003,CON-005,sent,,2025-01-15
2025-01-20 02:00:00,sync_002,false,MBR-010,CMP-003,CON-009,sent,,2025-01-15
2025-02-01 02:00:00,sync_003,false,MBR-008,CMP-003,CON-003,responded,2025-01-20,2025-01-15
2025-02-01 02:00:00,sync_003,false,MBR-011,CMP-004,CON-001,responded,2025-02-05,2025-02-01
2025-02-01 02:00:00,sync_003,false,MBR-012,CMP-004,CON-004,sent,,2025-02-01
2025-02-01 02:00:00,sync_003,false,MBR-013,CMP-004,CON-008,sent,,2025-02-01
2025-03-01 02:00:00,sync_004,false,MBR-012,CMP-004,CON-004,responded,2025-02-18,2025-02-01
2025-03-01 02:00:00,sync_004,false,MBR-009,CMP-003,CON-005,responded,2025-02-10,2025-01-15
