_op,_source_ts,_connector_batch_id,installation_id,household_id,installation_date,installer_partner_id,status,notes,created_at,updated_at
INSERT,2025-01-06 14:00:00,batch_002,3001,2001,2025-01-10,P001,scheduled,Smart thermostat v2 installation,2025-01-06 14:00:00,2025-01-06 14:00:00
INSERT,2025-01-06 14:05:00,batch_002,3002,2002,2025-01-12,P002,scheduled,Energy meter pro installation,2025-01-06 14:05:00,2025-01-06 14:05:00
INSERT,2025-01-07 09:00:00,batch_003,3003,2003,2025-01-15,P001,scheduled,Full office energy monitoring setup,2025-01-07 09:00:00,2025-01-07 09:00:00
INSERT,2025-01-08 10:00:00,batch_004,3004,2004,2025-01-18,P003,scheduled,Thermostat and meter bundle,2025-01-08 10:00:00,2025-01-08 10:00:00
INSERT,2025-01-10 11:00:00,batch_005,3005,2005,2025-01-20,P002,scheduled,Commercial energy monitoring,2025-01-10 11:00:00,2025-01-10 11:00:00
INSERT,2025-01-12 13:00:00,batch_006,3006,2006,2025-01-22,P001,scheduled,Smart thermostat installation,2025-01-12 13:00:00,2025-01-12 13:00:00
INSERT,2025-01-15 09:00:00,batch_007,3007,2008,2025-01-25,P003,scheduled,Full home energy package,2025-01-15 09:00:00,2025-01-15 09:00:00
INSERT,2025-01-18 10:30:00,batch_008,3008,2009,2025-01-28,P002,scheduled,Office meter installation,2025-01-18 10:30:00,2025-01-18 10:30:00
INSERT,2025-01-20 14:00:00,batch_008,3009,2010,2025-02-01,P001,scheduled,Thermostat installation,2025-01-20 14:00:00,2025-01-20 14:00:00
INSERT,2025-01-22 09:00:00,batch_009,3010,2011,2025-02-05,P003,scheduled,Second property setup,2025-01-22 09:00:00,2025-01-22 09:00:00
UPDATE,2025-01-10 16:00:00,batch_005,3001,2001,2025-01-10,P001,completed,Smart thermostat v2 installed successfully,2025-01-06 14:00:00,2025-01-10 16:00:00
UPDATE,2025-01-12 17:00:00,batch_006,3002,2002,2025-01-12,P002,completed,Energy meter pro installed and calibrated,2025-01-06 14:05:00,2025-01-12 17:00:00
UPDATE,2025-01-15 15:30:00,batch_007,3003,2003,2025-01-15,P001,completed,Office setup complete — 3 devices,2025-01-07 09:00:00,2025-01-15 15:30:00
UPDATE,2025-01-18 14:00:00,batch_008,3004,2004,2025-01-18,P003,completed,Bundle installed,2025-01-08 10:00:00,2025-01-18 14:00:00
UPDATE,2025-01-20 16:30:00,batch_008,3005,2005,2025-01-20,P002,completed,Commercial monitoring active,2025-01-10 11:00:00,2025-01-20 16:30:00
UPDATE,2025-01-22 15:00:00,batch_009,3006,2006,2025-01-22,P001,completed,Thermostat installed,2025-01-12 13:00:00,2025-01-22 15:00:00
UPDATE,2025-01-25 17:00:00,batch_009,3007,2008,2025-01-25,P003,completed,Full package installed,2025-01-15 09:00:00,2025-01-25 17:00:00
UPDATE,2025-01-28 16:00:00,batch_010,3008,2009,2025-01-28,P002,completed,Meter installed and verified,2025-01-18 10:30:00,2025-01-28 16:00:00
UPDATE,2025-02-01 15:00:00,batch_010,3009,2010,2025-02-01,P001,completed,Thermostat installed,2025-01-20 14:00:00,2025-02-01 15:00:00
UPDATE,2025-02-05 14:00:00,batch_011,3010,2011,2025-02-05,P003,completed,Second property setup done,2025-01-22 09:00:00,2025-02-05 14:00:00
UPDATE,2025-02-15 10:00:00,batch_013,3003,2003,2025-01-15,P001,maintenance,Firmware update required on office devices,2025-01-07 09:00:00,2025-02-15 10:00:00
DELETE,2025-03-05 09:10:00,batch_016,3009,2010,2025-02-01,P001,cancelled,Customer relocated — installation reversed,2025-01-20 14:00:00,2025-03-05 09:10:00
