time_key,hour,minute,time_of_day_band,is_business_hour
0,0,0,night,FALSE
1,0,1,night,FALSE
2,0,2,night,FALSE
3,0,3,night,FALSE
4,0,4,night,FALSE
5,0,5,night,FALSE
6,0,6,night,FALSE
7,0,7,night,FALSE
8,0,8,night,FALSE
9,0,9,night,FALSE
10,0,10,night,FALSE
11,0,11,night,FALSE
12,0,12,night,FALSE
13,0,13,night,FALSE
14,0,14,night,FALSE
15,0,15,night,FALSE
16,0,16,night,FALSE
17,0,17,night,FALSE
18,0,18,night,FALSE
19,0,19,night,FALSE
20,0,20,night,FALSE
21,0,21,night,FALSE
22,0,22,night,FALSE
23,0,23,night,FALSE
24,0,24,night,FALSE
25,0,25,night,FALSE
26,0,26,night,FALSE
27,0,27,night,FALSE
28,0,28,night,FALSE
29,0,29,night,FALSE
30,0,30,night,FALSE
31,0,31,night,FALSE
32,0,32,night,FALSE
33,0,33,night,FALSE
34,0,34,night,FALSE
35,0,35,night,FALSE
36,0,36,night,FALSE
37,0,37,night,FALSE
38,0,38,night,FALSE
39,0,39,night,FALSE
40,0,40,night,FALSE
41,0,41,night,FALSE
42,0,42,night,FALSE
43,0,43,night,FALSE
44,0,44,night,FALSE
45,0,45,night,FALSE
46,0,46,night,FALSE
47,0,47,night,FALSE
48,0,48,night,FALSE
49,0,49,night,FALSE
50,0,50,night,FALSE
51,0,51,night,FALSE
52,0,52,night,FALSE
53,0,53,night,FALSE
54,0,54,night,FALSE
55,0,55,night,FALSE
56,0,56,night,FALSE
57,0,57,night,FALSE
58,0,58,night,FALSE
59,0,59,night,FALSE
100,1,0,night,FALSE
101,1,1,night,FALSE
102,1,2,night,FALSE
103,1,3,night,FALSE
104,1,4,night,FALSE
105,1,5,night,FALSE
106,1,6,night,FALSE
107,1,7,night,FALSE
108,1,8,night,FALSE
109,1,9,night,FALSE
110,1,10,night,FALSE
111,1,11,night,FALSE
112,1,12,night,FALSE
113,1,13,night,FALSE
114,1,14,night,FALSE
115,1,15,night,FALSE
116,1,16,night,FALSE
117,1,17,night,FALSE
118,1,18,night,FALSE
119,1,19,night,FALSE
120,1,20,night,FALSE
121,1,21,night,FALSE
122,1,22,night,FALSE
123,1,23,night,FALSE
124,1,24,night,FALSE
125,1,25,night,FALSE
126,1,26,night,FALSE
127,1,27,night,FALSE
